construction	pelican	excavator	crane	hoist	upraise
date status	whirlpool	data sets	do tests	timely	current
animals	push	cat	sheep	duck	lion
boxing terminology	joker	jab	punch	corner	deck
emotional status	jail time	annoyed	fine	ok	calm
moral characteristic	warm	loyal	equitable	balanced	fair
military rank	popular	fighter	cadet	general	soldier
chocolate food	falsehood	cream	chocolate cake	fudge	cupcake
emotional status	forward	melancholy	down	emotional upsets	sad
store status	near	gated	not open	slow	close
activity	patty	seperate	fritter	waste away	goodbye
alcoholic drinks	poker	vodka	tequila	wine	gin
bird	davit	ostrich	egret	parrot	crane
temperature	funny	cold	refreshing	cool	hot
moral characteristic	light	honorable	impartial	decent	fair
mode of transportation	grasshopper	wave	swim	fly	flap
secretary duty	image	organize	fax	file	schedule
emotional status	ground	emotionalities	down	miserable	emotional
weather	texture	fair	stormy	windy	endure
moral characteristic	pale	honorable	well	fine	fair
poker	caution	fold	deck	queen	cards
type of sandwich	convention	blt	toast	club	french toast
police punishment	attractive	penalty	fine	ticket	jail time
elements	recruit	air	fire	water	burn
emotional status	output cord	crying	sad	angry	fret
computers	answer calls	firewall	text	format	file
emotional status	custody	well	calm	fine	happy
aesthetic characteristic	penalty	neat	hot	handsome	fine
aesthetic characteristic	custody	fine	classy	there	beautiful
card games	vodka	bridge	gin	canasta	uno
guitar part	crying	fret	inlays	truss rod	neck
personal characteristic	scorching	relaxed	optimist	cool	positive
computers	errands	document	space	format	file
accomodation	level	hotel	apartment	flat	townhome
emotional status	below	loveful	down	miserable	emotional state
body part	meter	hand	foot	arm	ear
animal	drive	bee	leap	ant	fly
personal characteristic	scorching	confident	relaxed	cool	ethical
body part	centimeter	heel	knee	foot	ankle
moral characteristic	clime	impartial	fair	balanced	dishonest
window material	spatula	glass	fiberglass	plastic	spyhole
police punishment	bright	custody	prison	fine	flyaway
emotional status	hot	ok	fine	calm	content
moral characteristic	tone	balanced	trustworthy	decent	fair
emotional status	bright	calm	content	fine	happy
computers	reception	text	format	file	program
type of sandwich	outing	burger	open-faced	roll	club
physical activity	summer	drop	fall	swim	plunge
police punishment	ok	flyaway	prison	fine	probation
type of sandwich	clan	grilled cheese	club	submarine	hamburger
food	blunt	cheese	hot dog	sausage	frank
emotional status	string	fret	emotional	angry	emotional state
social gathering	burger	club	discothek	clan	group
emotional status	downward	emotional	remorseful	emotional state	down
date status	blue	current	early	detestings	data sets
alcoholic drinks	poker	brandy	vodka	gin	tequila
physical activity	cat	squat	dodge	sprint	duck
moral characteristic	wiener	stern	frank	loyalty	integrity
chocolate food	wrongful	fudge	tart	chocolate	rich
moral characteristic	entree	honest	frank	integrity	stern
measurement unit	leg	pound	foot	milimeter	inch
personal characteristic	scorching	optimist	funny	popular	cool
emotional status	food	excited	fearful	disappointed	content
animal	canoe	hamster	whale	fish	cat
food	stern	frank	entree	sausage	provision
body part	mile	foot	ankle	elbow	ear
aesthetic characteristic	money	classy	attractive	fine	pretty
boxing terminology	fold	punch	glove	jab	deck
emotional display	kitten	fawn	paw	lust	woo
computers	answer	ram	firewall	hardware	file
location (proximity)	running.	closer	nearer	close	near
secretary duty	motherboard	correspondence	type	fax	file
animal	hunt	shark	horse	fish	whale
poker	jab	cards	chips	deck	joker
fried food	whittle	dumpling	fritter	fried	pie
guitar part	bored	fret	amp	board	strap lock
physical activity	cat	sprint	duck	swim	stoop
widespread	sergeant	universal	general	ubiquitous	plain
activity	dumpling	fritter	misuse	waste away	waste
boats	suits	dock	deck	stern	bridge
food	honesty	goodies	frank	grub	wiener
physical activity	winter	fall	bend	drop	swim
animal	swim	cow	dolphin	fish	bat
moral characteristic	meat	honest	blunt	integrity	frank
aesthetic characteristic	probation	attractive	fine	bright	exquisite
physical activity	equinox	plummet	fall	drop	swim
consumer product	jealous	file	books	content	specialty
emotional status	jail	content	relaxed	calm	fine
aesthetic characteristic	probation	pretty	detailed	fine	exquisite
secretary duty	firewall	file	support	answer	organize
kitchenware	coating	glass	knife	knifer	colander
emotional status	prime	mad	annoyed	well	fine
widespread	admiral	general	boring	typical	ordinary
ocean	late	flow	drink	tide	current
construction	parrot	crane	tackle	dump truck	concrete pourer
corporate	rigged	common	llc	firm	corporation
moral characteristic	deal	fair	just	ok	trustworthy
date status	sea	data sets	history	current	postponed
chocolate food	falsification	cake	tart	fudge	cupcake
mode of transportation	cockroach	bus	flap	fly	train
emotional status	specialty	sad	angry	fearful	content
animals	bend	lion	duck	cow	dog
moral characteristic	milky	honorable	fair	well	alright
shady activities	pudding	loosen	fix	unwarranted	fudge
computers	errands	image	program	folder	file
emotional status	downward	emotional upsets	emotional	miserable	down
date status	brine	current	belated	history	do tests
body part	yard	head	heel	finger	foot
accomodation	smooth	cabin	flat	squashed	mansion
guitar part	angry	chord	fret	jack	headstock
emotional status	penalty	well	fine	happy	relaxed
moral characteristic	even	honorable	unprejudiced	fair	loyal
police punishment	calm	probation	ticket	firstrate	fine
fried food	squander	pastry	dumpling	doughnut	fritter
boats	knockout	lifeline	deck	hull	galley
construction	pelican	windlass	tackle	dump truck	crane
emotional status	output cord	angry	anxious	emotional upsets	fret
moral characteristic	light	fair	well	balanced	fine
animals	get down	duck	swan	dog	ostrich
police punishment	classy	fine	money	ticket	arrest
mode of transportation	bats	flutter	bike	glide	fly
food	honesty	goodies	meat	cheese	frank
direction	loveful	down	opposite of up	backward	ground
emotional status	custody	decent	ok	fine	relaxed
physical activity	equinox	jump	bend	plunge	fall
emotional status	notes	fret	worried	emotional supports	emotionalities
chocolate food	mangle	molasses	fudge	rich	cake
elements	retire	combustion	fire	ground	flame
type of rigidity	alignment	rough	firm	unyielding	stiff
aesthetic characteristic	tangle	well	fair	medium	ghostly
window material	colander	spyhole	glass	handle	woodwork
food	integrity	vittles	sausage	frank	goodies
window material	colander	plastic	frame	glass	woodwork
military rank	ordinary	cadet	general	soldier	private
consumer product	fearful	tools	item	content	food
mode of transportation	dangle	flutter	wave	flap	fly
animal	bus	fly	ant	eagle	beetle
bird	upraise	ostrich	flamingo	duck	crane
moral characteristic	provision	courage	frank	honest	blunt
physical activity	dog	hike	push	duck	jog
fried food	goodbye	fritter	cake	blueberry	pastry
secretary duty	ram	answer	answer calls	organize	file
secretary duty	hardware	reception	answer calls	schedule	file
shady activities	truffles	unwarranted	fudge	invent	mangle
baby animals	social	calf	fawn	doe	woods
elements	promote	fire	flame	blaze	air
moral characteristic	cold	fair	trustworthy	honorable	unprejudiced
boats	caution	deck	bow	bridge	gunwale
animal	bike	bird	fly	waggle	ant
activity	croquet	waste	squander	spend	fritter
military rank	popular	cadet	lieutenant	major	general
location (proximity)	shut down	right there	close	near	beside
consumer product	ecstatic	content	service	tools	books
shady activities	brownies	fudge	replace	banned	wrongful
elements	remove	ice	cool	fire	combustion
physical property	salt	fat	obese	bulky	brittleness
animal	flap	cockroach	ant	fly	eagle
police punishment	mad	arrest	fine	jail	ticket
aesthetic characteristic	tangle	medium	size	fair	level
bird	concrete pourer	hoist	heron	goose	crane
direction	sad	backward	down	ground	flat
geographical property	hotel	flat	paved	horizontal	level
aesthetic characteristic	70	ghostly	pale	fair	color
widespread	fighter	general	average	universal	normal
card games	tequila	gin	spider	pinochle	uno
social gathering	grilled cheese	convention	team	cinema	club
ocean	postponed	current	jetstream	tide	water
geographical property	studio	plain	valley	even	flat
moral characteristic	cold	equitable	fair	dishonest	decent
moral characteristic	cold	fair	balanced	honorable	impartial
construction	tackle	hoist	crane	derrick	concrete pourer
boxing terminology	check	deck	ring	corner	box
physical activity	equinox	fall	tumble	stoop	plummet
shady activities	tart	unlicensed	falsehood	fudge	banned
weather	unprejudiced	brisk	sunny	mild	fair
type of sandwich	discothek	burger	club	hoagie	hamburger
card games	bourbon	gin	hearts	poker	canasta
emotional status	ground	sad	remorseful	ashamed	down
chocolate food	unwarranted	pie	molasses	fudge	brownies
emotional status	lower	disgusted	remorseful	miserable	down
guitar part	angry	fret	jack	notes	output cord
chocolate food	replace	fudge	cream	truffles	rich
bird	dump truck	heron	crane	hummingbird	neck
weather	color	warm	mild	fair	make the grade
animals	bow	duck	geese	horse	elephant
physical activity	sheep	duck	crouch	bow	push
food	honest	entree	frank	cheese	hot dog
emotional status	backward	down	emotional	disgusted	emotional upsets
corporate	unyielding	ceo	private	firm	llc
corporate	resistant	corporation	streamline	firm	ceo
elements	pay	fire	earth	inferno	cool
secretary duty	firewall	support	answer calls	file	schedule appointments
corporate	hard	firm	shareholders	sustainability	amalgamated
boats	jab	gunwale	lifeline	stern	deck
aesthetic characteristic	money	bright	handsome	beautiful	fine
moral characteristic	light	fair	ok	equitable	unjust
guitar part	crying	amp	neck	strap lock	fret
